epsilon_pp,pattern,load_factor,deadline_factor,decoupled_slo,decoupled_throughput,cliffserve_slo,cliffserve_throughput,slo_gain_pp,throughput_gain_pct
2.0,onoff,1.1,8.0,0.0218,178.11182193536953,0.026600000000000002,178.87243096709457,0.4800000000000002,0.4270401725501527
2.0,onoff,1.1,12.0,0.0497,182.74594674603847,0.05162,183.09554523136845,0.1919999999999998,0.19130300373546572
2.0,poisson,0.3,2.0,0.00054,174.97251280564888,0.00054,174.97251280564888,0.0,0.0
2.0,poisson,0.3,4.0,1.0,496.3945049572415,1.0,496.3945049572415,0.0,0.0
2.0,poisson,0.3,8.0,1.0,496.3945049572415,1.0,496.3945049572415,0.0,0.0
2.0,poisson,0.3,12.0,1.0,496.3945049572415,1.0,496.3945049572415,0.0,0.0
2.0,poisson,0.6,2.0,0.00074,175.01494059274654,0.00074,175.01494059274654,0.0,0.0
2.0,poisson,0.6,4.0,0.14124,199.50201760941195,0.18374000000000001,211.02834217197,4.250000000000001,5.777547866771182
2.0,poisson,0.6,8.0,1.0,991.8087590693733,1.0,991.8087590693733,0.0,0.0
2.0,poisson,0.6,12.0,1.0,991.8087590693733,1.0,991.8087590693733,0.0,0.0
2.0,poisson,0.8,2.0,0.00058,174.99489497443605,0.00058,174.99489497443605,0.0,0.0
2.0,poisson,0.8,4.0,0.00794,176.08228715754174,0.00986,176.38226629835194,0.19200000000000017,0.1703630419917168
2.0,poisson,0.8,8.0,1.0,1320.893677478895,1.0,1320.893677478895,0.0,0.0
2.0,poisson,0.8,12.0,1.0,1320.893677478895,1.0,1320.893677478895,0.0,0.0
2.0,poisson,0.95,2.0,0.0007,175.0124006442474,0.0007,175.0124006442474,0.0,0.0
2.0,poisson,0.95,4.0,0.0061400000000000005,175.83270324154344,0.0064600000000000005,175.8837081096413,0.032,0.029007611870590644
2.0,poisson,0.95,8.0,1.0,1567.4699329900413,1.0,1567.4724100751912,0.0,0.00015803079203013937
2.0,poisson,0.95,12.0,1.0,1567.4724100751912,1.0,1567.4724100751912,0.0,0.0
2.0,poisson,1.1,2.0,0.00046,174.9806205850669,0.00046,174.9806205850669,0.0,0.0
2.0,poisson,1.1,4.0,0.0047,175.61277474171706,0.00534,175.71413045486426,0.064,0.057715455664464343
2.0,poisson,1.1,8.0,0.49798,368.90303184845726,0.6862999999999999,929.6396810378704,18.831999999999994,152.00109535010807
2.0,poisson,1.1,12.0,1.0,1812.1793440051777,1.0,1812.1793440051777,0.0,0.0
