model,batch_size,r,sequence_tokens,content_tokens,latency_mean_ms,latency_median_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_std_ms,throughput_median_qps,throughput_p95_qps,accuracy_pct,correct,num_samples,dense_accuracy_pct,accuracy_drop_pp,speedup_vs_dense_p95,pareto
deit_base_patch16_224,48,128,69,68,67.80664563496907,67.7835807800293,68.20067596435547,68.29571800231933,68.5310440826416,0.2852299289311972,708.1360920688035,702.825907743878,63.65,6365,10000,71.19,7.539999999999999,1.6924496660330355,True
deit_base_patch16_224,48,144,53,52,60.7120232518514,60.70841598510742,60.97366485595703,61.043250274658206,61.31680332183838,0.2275317347091387,790.6646750884595,786.3277231148184,58.67,5867,10000,71.19,12.519999999999996,1.8935273696016988,True
deit_base_patch16_224,64,0,197,196,146.38467005411783,146.3839874267578,146.92650604248047,146.9359031677246,147.07113449096678,0.4267263581930702,437.2062896020095,435.5640699124787,71.19,7119,10000,71.19,0.0,1.0,True
deit_base_patch16_224,64,48,149,148,137.27594863891602,137.26592254638672,137.8736572265625,137.98399047851564,138.43841690063476,0.4356499338130892,466.2482778882885,463.8219243990115,70.32,7032,10000,71.19,0.8700000000000045,1.064876458915013,True
deit_base_patch16_224,64,64,133,132,127.8533317565918,127.82299423217772,128.46668243408203,128.5390266418457,128.9406575012207,0.4395131591215026,500.69238625211966,497.903256870975,69.94,6994,10000,71.19,1.25,1.1431228865388796,True
deit_base_patch16_224,64,80,117,116,114.49001274108886,114.50142288208008,114.8872283935547,115.03918838500977,115.2610720062256,0.314930185805208,558.9450191017343,556.3321586189106,69.23,6923,10000,71.19,1.9599999999999937,1.2772682529362416,True
deit_base_patch16_224,64,96,101,100,104.2802904510498,104.19472122192384,104.6975875854492,104.82260475158692,105.02400634765624,0.3367722708612388,614.2345720536716,610.5553296607152,68.18,6818,10000,71.19,3.009999999999991,1.4017577937119534,True
deit_base_patch16_224,64,112,85,84,97.21969131469729,97.08875274658205,97.79595031738282,97.97903251647948,98.08773475646971,0.3714237416493391,659.1906702834134,653.200979395623,66.45,6645,10000,71.19,4.739999999999995,1.4996668102740336,True
deit_base_patch16_224,64,128,69,68,86.55781997680664,86.51388549804688,86.91415023803711,87.06350288391113,87.33872886657714,0.2667726706770227,739.7656414523753,735.0956242288622,63.69,6369,10000,71.19,7.5,1.6876865540735966,True
deit_base_patch16_224,64,144,53,52,77.57183591206868,77.45088195800781,78.24400253295899,78.267818069458,78.30940162658692,0.3298703445214047,826.330164125173,817.70517664366,58.64,5864,10000,71.19,12.549999999999997,1.877347635235312,True
